version_prog_id,cruce_id,plan_id,fase_id,duracion_s,entreverde_s,cum_inicio_s,cum_fin_s,es_verde_lateral,ciclo_s,fase_origen,fuente
2,2,1,1,110,4,0,114,0,142,A,Red PAC.xlsx
2,2,1,2,24,4,118,142,1,142,B,Red PAC.xlsx
2,2,2,1,108,4,0,112,0,138,A,Red PAC.xlsx
2,2,2,2,22,4,116,138,1,138,B,Red PAC.xlsx
2,2,3,1,99,4,0,103,0,130,A,Red PAC.xlsx
2,2,3,2,23,4,107,130,1,130,B,Red PAC.xlsx
2,2,4,1,115,4,0,119,0,140,A,Red PAC.xlsx
2,2,4,2,17,4,123,140,1,140,B,Red PAC.xlsx
2,2,5,1,103,4,0,107,0,132,A,Red PAC.xlsx
2,2,5,2,21,4,111,132,1,132,B,Red PAC.xlsx
2,2,6,1,100,4,0,104,0,130,A,Red PAC.xlsx
2,2,6,2,22,4,108,130,1,130,B,Red PAC.xlsx
2,4,1,1,80,4,0,84,0,142,A,Red PAC.xlsx
2,4,1,2,30,4,88,118,0,142,B,Red PAC.xlsx
2,4,1,3,20,4,122,142,1,142,C,Red PAC.xlsx
2,4,2,1,87,4,0,91,0,138,A,Red PAC.xlsx
2,4,2,2,21,4,95,116,0,138,B,Red PAC.xlsx
2,4,2,3,18,4,120,138,1,138,C,Red PAC.xlsx
2,4,3,1,78,4,0,82,0,130,A,Red PAC.xlsx
2,4,3,2,22,4,86,108,0,130,B,Red PAC.xlsx
2,4,3,3,18,4,112,130,1,130,C,Red PAC.xlsx
2,4,4,1,91,4,0,95,0,140,A,Red PAC.xlsx
2,4,4,2,20,4,99,119,0,140,B,Red PAC.xlsx
2,4,4,3,17,4,123,140,1,140,C,Red PAC.xlsx
2,4,5,1,79,4,0,83,0,132,A,Red PAC.xlsx
2,4,5,2,21,4,87,108,0,132,B,Red PAC.xlsx
2,4,5,3,20,4,112,132,1,132,C,Red PAC.xlsx
2,4,6,1,78,4,0,82,0,130,A,Red PAC.xlsx
2,4,6,2,26,4,86,112,0,130,B,Red PAC.xlsx
2,4,6,3,14,4,116,130,1,130,C,Red PAC.xlsx
2,6,1,1,66,6,0,71,0,142,A,Red PAC.xlsx
2,6,1,2,15,6,77,92,0,142,B,Red PAC.xlsx
2,6,1,3,44,5,98,142,1,142,C,Red PAC.xlsx
2,6,2,1,64,6,0,69,0,138,A,Red PAC.xlsx
2,6,2,2,15,6,75,90,0,138,B,Red PAC.xlsx
2,6,2,3,42,5,96,138,1,138,C,Red PAC.xlsx
2,6,3,1,80,6,0,85,0,130,A,Red PAC.xlsx
2,6,3,2,6,6,91,97,0,130,B,Red PAC.xlsx
2,6,3,3,28,5,103,130,1,130,C,Red PAC.xlsx
2,6,4,1,73,6,0,78,0,140,A,Red PAC.xlsx
2,6,4,2,8,6,84,92,0,140,B,Red PAC.xlsx
2,6,4,3,42,5,98,140,1,140,C,Red PAC.xlsx
2,6,5,1,81,6,0,86,0,132,A,Red PAC.xlsx
2,6,5,2,9,6,92,101,0,132,B,Red PAC.xlsx
2,6,5,3,26,5,107,132,1,132,C,Red PAC.xlsx
2,6,6,1,65,6,0,70,0,130,A,Red PAC.xlsx
2,6,6,2,8,6,76,84,0,130,B,Red PAC.xlsx
2,6,6,3,40,5,90,130,1,130,C,Red PAC.xlsx
1,7,1,1,85,4,0,89,0,142,A,Red Ruta160.xlsx
1,7,1,2,27,4,93,120,1,142,B,Red Ruta160.xlsx
1,7,1,3,17,4,124,142,0,142,C,Red Ruta160.xlsx
1,7,2,1,86,4,0,90,0,138,A,Red Ruta160.xlsx
1,7,2,2,22,4,94,116,0,138,B,Red Ruta160.xlsx
1,7,2,3,18,4,120,138,1,138,C,Red Ruta160.xlsx
