campania_id,cruce_id,tipo_dia,t_inicio_s,t_fin_s,flujo_veh_h
1,2,Laboral,21600,25199,26.28347535582
1,2,Laboral,25200,28799,62.512065721152
1,2,Laboral,28800,32399,49.947330995681
1,2,Laboral,32400,35999,30.082890801358
1,2,Laboral,36000,39599,39.420953014104
1,2,Laboral,39600,43199,50.369589779313
1,2,Laboral,43200,46799,53.798132927962
1,2,Laboral,46800,50399,56.71962410821
1,2,Laboral,50400,53999,50.947297514411
1,2,Laboral,54000,57599,53.627335376371
1,2,Laboral,57600,61199,52.220965073526
1,2,Laboral,61200,64799,54.26073660335
1,2,Laboral,64800,68399,53.955633580057
1,2,Laboral,68400,71999,46.571936290422
1,2,Laboral,72000,75599,42.149338966457
1,2,Laboral,75600,79199,33.854973731266
1,2,Laboral,79200,82799,25.338740304784
1,2,Laboral,82800,86399,14.880379070392
1,3,Laboral,21600,25199,26.380462349753
1,3,Laboral,25200,28799,62.742737550381
1,3,Laboral,28800,32399,50.13163849013
1,3,Laboral,32400,35999,30.193897778485
1,3,Laboral,36000,39599,39.566417785374
1,3,Laboral,39600,43199,50.555455424255
1,3,Laboral,43200,46799,53.996650023637
1,3,Laboral,46800,50399,56.928921614144
1,3,Laboral,50400,53999,51.135294922213
1,3,Laboral,54000,57599,53.825222222779
1,3,Laboral,57600,61199,52.41366236162
1,3,Laboral,61200,64799,54.460960723658
1,3,Laboral,64800,68399,54.15473185895
1,3,Laboral,68400,71999,46.743788453855
1,3,Laboral,72000,75599,42.30487158257
1,3,Laboral,75600,79199,33.979899833595
1,3,Laboral,79200,82799,25.432241191517
1,3,Laboral,82800,86399,14.935288218253
1,4,Laboral,21600,25199,88.857142857143
1,4,Laboral,25200,28799,326.142857142857
1,4,Laboral,28800,32399,276.857142857143
1,4,Laboral,32400,35999,145.714285714286
1,4,Laboral,36000,39599,241.285714285714
1,4,Laboral,39600,43199,312.142857142857
1,4,Laboral,43200,46799,331.857142857143
1,4,Laboral,46800,50399,348
1,4,Laboral,50400,53999,316.571428571429
1,4,Laboral,54000,57599,347
1,4,Laboral,57600,61199,326.714285714286
1,4,Laboral,61200,64799,331.714285714286
1,4,Laboral,64800,68399,320.571428571429
1,4,Laboral,68400,71999,278.5
1,4,Laboral,72000,75599,259.666666666667
1,4,Laboral,75600,79199,210.5
1,4,Laboral,79200,82799,150.166666666667
1,4,Laboral,82800,86399,88.142857142857
1,5,Laboral,21600,25199,201.752344779253
1,5,Laboral,25200,28799,479.843539162876
1,5,Laboral,28800,32399,383.396449952822
1,5,Laboral,32400,35999,230.916713819134
1,5,Laboral,36000,39599,302.595817195348
1,5,Laboral,39600,43199,386.637714608583
1,5,Laboral,43200,46799,412.95526242342
1,5,Laboral,46800,50399,435.380671844641
1,5,Laboral,50400,53999,391.072207710247
1,5,Laboral,54000,57599,411.644217896413
1,5,Laboral,57600,61199,400.848898693537
1,5,Laboral,61200,64799,416.506215063797
1,5,Laboral,64800,68399,414.164239753633
1,5,Laboral,68400,71999,357.486870373931
1,5,Laboral,72000,75599,323.538948036992
1,5,Laboral,75600,79199,259.871278065607
1,5,Laboral,79200,82799,194.500544583066
1,5,Laboral,82800,86399,114.22200938092
1,6,Laboral,21600,25199,192.40279856412
1,6,Laboral,25200,28799,457.606774825167
1,6,Laboral,28800,32399,365.629207487938
1,6,Laboral,32400,35999,220.215641224112
1,6,Laboral,36000,39599,288.573013244944
1,6,Laboral,39600,43199,368.720266436164
1,6,Laboral,43200,46799,393.818214400337
1,6,Laboral,46800,50399,415.204392272569
1,6,Laboral,50400,53999,372.94925759811
1,6,Laboral,54000,57599,392.567925902752
1,6,Laboral,57600,61199,382.272880121257
1,6,Laboral,61200,64799,397.204609866148
1,6,Laboral,64800,68399,394.971165668329
1,6,Laboral,68400,71999,340.920321818961
1,6,Laboral,72000,75599,308.545603843758
1,6,Laboral,75600,79199,247.828401801053
1,6,Laboral,79200,82799,185.487059101955
1,6,Laboral,82800,86399,108.928767527098
1,7,Laboral,21600,25199,26.052158054711
1,7,Laboral,25200,28799,95.622310030395
1,7,Laboral,28800,32399,81.172158054711
1,7,Laboral,32400,35999,42.722188449848
1,7,Laboral,36000,39599,70.742917933131
1,7,Laboral,39600,43199,91.517629179331
1,7,Laboral,43200,46799,97.297689969605
1,7,Laboral,46800,50399,102.030638297872
1,7,Laboral,50400,53999,92.816048632219
1,7,Laboral,54000,57599,101.737446808511
1,7,Laboral,57600,61199,95.789848024316
1,7,Laboral,61200,64799,97.255805471125
1,7,Laboral,64800,68399,93.988814589666
1,7,Laboral,68400,71999,81.653829787234
1,7,Laboral,72000,75599,76.132056737589
1,7,Laboral,75600,79199,61.716808510638
1,7,Laboral,79200,82799,44.027588652482
1,7,Laboral,82800,86399,25.84273556231
1,8,Laboral,21600,25199,114.483447638415
1,8,Laboral,25200,28799,272.285027222315
1,8,Laboral,28800,32399,217.556566447606
1,8,Laboral,32400,35999,131.032635800455
1,8,Laboral,36000,39599,171.706616006821
1,8,Laboral,39600,43199,219.39580728967
1,8,Laboral,43200,46799,234.329579734932
1,8,Laboral,46800,50399,247.05477600491
1,8,Laboral,50400,53999,221.91214016978
1,8,Laboral,54000,57599,233.585633499147
1,8,Laboral,57600,61199,227.459878866384
1,8,Laboral,61200,64799,236.34455161105
1,8,Laboral,64800,68399,235.015608405533
1,8,Laboral,68400,71999,202.854293716656
1,8,Laboral,72000,75599,183.590700059064
1,8,Laboral,75600,79199,147.462771189618
1,8,Laboral,79200,82799,110.368446700246
1,8,Laboral,82800,86399,64.81475813539
1,10,Laboral,21600,25199,191.859671398095
1,10,Laboral,25200,28799,456.315012581483
1,10,Laboral,28800,32399,364.597085519023
1,10,Laboral,32400,35999,219.594002152202
1,10,Laboral,36000,39599,287.758410525833
1,10,Laboral,39600,43199,367.679418824488
1,10,Laboral,43200,46799,392.706518664556
1,10,Laboral,46800,50399,414.032326239337
1,10,Laboral,50400,53999,371.896472114417
1,10,Laboral,54000,57599,391.459759562871
1,10,Laboral,57600,61199,381.193775307929
1,10,Laboral,61200,64799,396.083354792426
1,10,Laboral,64800,68399,393.856215306527
1,10,Laboral,68400,71999,339.957949703735
1,10,Laboral,72000,75599,307.674621193528
1,10,Laboral,75600,79199,247.128815628009
1,10,Laboral,79200,82799,184.963454136247
1,10,Laboral,82800,86399,108.621276299075
1,11,Laboral,21600,25199,70.2
1,11,Laboral,25200,28799,160
1,11,Laboral,28800,32399,130.142857142857
1,11,Laboral,32400,35999,98.2
1,11,Laboral,36000,39599,97.6
1,11,Laboral,39600,43199,102.6
1,11,Laboral,43200,46799,122.8
1,11,Laboral,46800,50399,116.5
1,11,Laboral,50400,53999,99.333333333333
1,11,Laboral,54000,57599,122.833333333333
1,11,Laboral,57600,61199,118.5
1,11,Laboral,61200,64799,128.333333333333
1,11,Laboral,64800,68399,139.166666666667
1,11,Laboral,68400,71999,121.166666666667
1,11,Laboral,72000,75599,88.666666666667
1,11,Laboral,75600,79199,66.666666666667
1,11,Laboral,79200,82799,44.5
1,11,Laboral,82800,86399,28.2
1,12,Laboral,21600,25199,191.142857142857
1,12,Laboral,25200,28799,306.142857142857
1,12,Laboral,28800,32399,223.571428571429
1,12,Laboral,32400,35999,161.857142857143
1,12,Laboral,36000,39599,147
1,12,Laboral,39600,43199,182.857142857143
1,12,Laboral,43200,46799,197.285714285714
1,12,Laboral,46800,50399,210.428571428571
1,12,Laboral,50400,53999,183.857142857143
1,12,Laboral,54000,57599,175.714285714286
1,12,Laboral,57600,61199,185.571428571429
1,12,Laboral,61200,64799,202.857142857143
1,12,Laboral,64800,68399,213.714285714286
1,12,Laboral,68400,71999,182.142857142857
1,12,Laboral,72000,75599,155
1,12,Laboral,75600,79199,122
1,12,Laboral,79200,82799,100.857142857143
1,12,Laboral,82800,86399,59.285714285714
1,13,Laboral,21600,25199,35.051099607356
1,13,Laboral,25200,28799,83.364799083484
1,13,Laboral,28800,32399,66.608728493871
1,13,Laboral,32400,35999,40.117921533619
1,13,Laboral,36000,39599,52.57096833689
1,13,Laboral,39600,43199,67.17184408208
1,13,Laboral,43200,46799,71.744078376994
1,13,Laboral,46800,50399,75.640118644675
1,13,Laboral,50400,53999,67.942263179734
1,13,Laboral,54000,57599,71.516306291589
1,13,Laboral,57600,61199,69.640799917241
1,13,Laboral,61200,64799,72.360997079154
1,13,Laboral,64800,68399,71.954117992002
1,13,Laboral,68400,71999,62.107371864791
1,13,Laboral,72000,75599,56.209487463017
1,13,Laboral,75600,79199,45.148293381843
1,13,Laboral,79200,82799,33.791220465494
1,13,Laboral,82800,86399,19.844166037047
1,14,Laboral,21600,25199,64.903696339908
1,14,Laboral,25200,28799,154.365588120275
1,14,Laboral,28800,32399,123.338575285275
1,14,Laboral,32400,35999,74.285869093243
1,14,Laboral,36000,39599,97.345024933721
1,14,Laboral,39600,43199,124.381289595262
1,14,Laboral,43200,46799,132.847640425802
1,14,Laboral,46800,50399,140.061890971269
1,14,Laboral,50400,53999,125.807865301268
1,14,Laboral,54000,57599,132.425877615748
1,14,Laboral,57600,61199,128.953025192633
