version_prog_id,cruce_id,tipo_dia,hora_inicio_s,hora_fin_s,plan_id,fuente
2,2,Domingo/Festivo,0,36000,5,Red PAC.xlsx
2,2,Domingo/Festivo,36000,53100,3,Red PAC.xlsx
2,2,Domingo/Festivo,53100,64800,2,Red PAC.xlsx
2,2,Domingo/Festivo,64800,75600,4,Red PAC.xlsx
2,2,Domingo/Festivo,75600,82800,3,Red PAC.xlsx
2,2,Domingo/Festivo,82800,86400,5,Red PAC.xlsx
2,2,Laboral,0,21600,5,Red PAC.xlsx
2,2,Laboral,21600,34200,1,Red PAC.xlsx
2,2,Laboral,34200,36000,6,Red PAC.xlsx
2,2,Laboral,36000,45000,2,Red PAC.xlsx
2,2,Laboral,45000,61200,4,Red PAC.xlsx
2,2,Laboral,61200,75600,4,Red PAC.xlsx
2,2,Laboral,75600,82800,3,Red PAC.xlsx
2,2,Laboral,82800,86400,5,Red PAC.xlsx
2,2,Sabado,0,28800,5,Red PAC.xlsx
2,2,Sabado,28800,45000,2,Red PAC.xlsx
2,2,Sabado,45000,72900,4,Red PAC.xlsx
2,2,Sabado,72900,81000,2,Red PAC.xlsx
2,2,Sabado,81000,82800,3,Red PAC.xlsx
2,2,Sabado,82800,86400,5,Red PAC.xlsx
2,4,Domingo/Festivo,0,36000,5,Red PAC.xlsx
2,4,Domingo/Festivo,36000,53100,3,Red PAC.xlsx
2,4,Domingo/Festivo,53100,64800,2,Red PAC.xlsx
2,4,Domingo/Festivo,64800,75600,4,Red PAC.xlsx
2,4,Domingo/Festivo,75600,82800,3,Red PAC.xlsx
2,4,Domingo/Festivo,82800,86400,5,Red PAC.xlsx
2,4,Laboral,0,21600,5,Red PAC.xlsx
2,4,Laboral,21600,34200,1,Red PAC.xlsx
2,4,Laboral,34200,36000,6,Red PAC.xlsx
2,4,Laboral,36000,45000,2,Red PAC.xlsx
2,4,Laboral,45000,61200,4,Red PAC.xlsx
2,4,Laboral,61200,75600,4,Red PAC.xlsx
2,4,Laboral,75600,82800,3,Red PAC.xlsx
2,4,Laboral,82800,86400,5,Red PAC.xlsx
2,4,Sabado,0,28800,5,Red PAC.xlsx
2,4,Sabado,28800,45000,2,Red PAC.xlsx
2,4,Sabado,45000,72900,4,Red PAC.xlsx
2,4,Sabado,72900,81000,2,Red PAC.xlsx
2,4,Sabado,81000,82800,3,Red PAC.xlsx
2,4,Sabado,82800,86400,5,Red PAC.xlsx
2,6,Domingo/Festivo,0,36000,5,Red PAC.xlsx
2,6,Domingo/Festivo,36000,53100,3,Red PAC.xlsx
2,6,Domingo/Festivo,53100,64800,2,Red PAC.xlsx
2,6,Domingo/Festivo,64800,75600,4,Red PAC.xlsx
2,6,Domingo/Festivo,75600,82800,3,Red PAC.xlsx
2,6,Domingo/Festivo,82800,86400,5,Red PAC.xlsx
2,6,Laboral,0,21600,5,Red PAC.xlsx
2,6,Laboral,21600,34200,1,Red PAC.xlsx
